temperature,humidity,cr
24.2,34.1,2.0
24.2,33.55,2.0
24.4,33.7,2.0
24.6,30.9,4.0
24.6,31.25,3.0
24.5,31.45,5.0
24.8,32.75,4.0
24.5,32.85,4.0
23.0,43.6,5.0
23.0,42.85,5.0
24.0,41.8,5.0
24.0,41.85,4.0
24.0,41.22,1.0
24.0,41.75,4.0
24.0,41.78,4.0
24.1,41.1,5.0
24.1,41.2,4.0
24.15,41.4,4.0
24.4,39.65,3.0
24.4,40.6,1.0
24.4,40.7,4.0
24.4,40.5,1.0
24.4,40.5,1.0
24.4,40.5,4.0
24.4,40.35,1.0
24.4,40.2,1.0
24.4,40.1,2.0
24.4,40.45,4.0
24.45,40.75,2.0
24.5,40.7,4.0
24.45,40.6,4.0
24.45,40.35,1.0
24.5,40.05,4.0
24.5,40.28,4.0
24.5,40.5,3.0
24.5,40.4,4.0
24.5,40.45,3.0
24.45,40.5,5.0
24.5,39.9,3.0
24.5,40.5,1.0
24.5,40.5,5.0
24.5,40.45,3.0
24.5,40.3,4.0
24.5,40.3,5.0
24.5,39.85,1.0
24.5,40.25,4.0
24.5,40.28,1.0
24.5,39.9,3.0
24.5,40.4,2.0
24.5,40.4,1.0
24.5,40.3,2.0
24.5,40.35,2.0
24.5,40.1,4.0
24.55,40.2,1.0
24.6,40.15,5.0
24.6,40.15,4.0
24.6,39.65,5.0
24.6,39.97,3.0
24.6,40.1,1.0
24.6,40.1,3.0
24.6,40.1,3.0
24.6,40.2,3.0
24.7,39.6,5.0
24.65,39.85,5.0
24.6,40.0,2.0
24.6,39.95,1.0
24.6,40.17,2.0
24.65,40.05,1.0
24.7,40.05,3.0
24.7,40.08,4.0
24.7,39.65,1.0
24.7,40.2,3.0
24.7,39.6,3.0
24.65,39.8,3.0
24.65,40.1,2.0
24.7,39.6,3.0
24.7,39.8,2.0
24.7,40.0,3.0
24.6,39.95,3.0
24.6,39.95,1.0
24.6,39.98,5.0
24.6,40.1,3.0
24.6,40.05,4.0
24.6,39.97,2.0
24.6,39.95,4.0
24.65,39.9,2.0
24.62,39.95,1.0
24.6,40.0,1.0
24.6,39.55,1.0
24.6,39.78,1.0
24.6,40.0,3.0
24.7,39.7,5.0
24.7,39.45,3.0
24.7,40.1,2.0
24.7,40.3,5.0
